"Rk_name","Rk_Pk","Rk_Pk_url","Rk_Tm","Rk_Tm_url","Rk_Player","Rk_Player_url","Rk_College","Rk_College_url","Rk_Yrs","Rk_G","Rk_MP","Rk_PTS","Rk_TRB","Rk_AST","Rk_FG","Rk__3P","Rk_FT","Rk_WS","Rk_WS_48","Rk_BPM","Rk_VOBR"
"25","25","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=25&pick_overall_max=25&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","HOU","https://www.basketball-reference.com/teams/HOU/draft.html","Clint Capela","https://www.basketball-reference.com/players/c/capelca01.html","","","6","334","26.0","12.2","9.7","1.0",".634",".000",".526","36.4",".201","1.9","8.5"
"26","26","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=26&pick_overall_max=26&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIA","https://www.basketball-reference.com/teams/MIA/draft.html","P.J. Hairston","https://www.basketball-reference.com/players/h/hairspj02.html","UNC","https://www.basketball-reference.com/friv/draft.fcgi?college=unc","2","111","18.0","6.0","2.4","0.5",".343",".295",".810","0.9",".021","-3.9","-1.0"
"27","27","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=27&pick_overall_max=27&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHO","https://www.basketball-reference.com/teams/PHO/draft.html","Bogdan Bogdanović","https://www.basketball-reference.com/players/b/bogdabo01.html","","","3","209","28.2","13.5","3.2","3.5",".434",".374",".806","8.7",".071","-0.6","2.2"
"28","28","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=28&pick_overall_max=28&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","LAC","https://www.basketball-reference.com/teams/LAC/draft.html","C.J. Wilcox","https://www.basketball-reference.com/players/w/wilcocj01.html","Washington","https://www.basketball-reference.com/friv/draft.fcgi?college=washington","3","66","5.7","2.0","0.5","0.5",".370",".333",".813","0.1",".007","-4.3","-0.2"
"29","29","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=29&pick_overall_max=29&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","OKC","https://www.basketball-reference.com/teams/OKC/draft.html","Josh Huestis","https://www.basketball-reference.com/players/h/huestjo01.html","Stanford","https://www.basketball-reference.com/friv/draft.fcgi?college=stanford","3","76","14.1","2.5","2.4","0.3",".346",".312",".240","0.7",".030","-3.5","-0.4"
"30","30","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=30&pick_overall_max=30&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","SAS","https://www.basketball-reference.com/teams/SAS/draft.html","Kyle Anderson","https://www.basketball-reference.com/players/a/anderky01.html","UCLA","https://www.basketball-reference.com/friv/draft.fcgi?college=ucla","6","367","19.7","5.4","4.0","2.0",".488",".311",".699","17.9",".119","1.4","6.3"
"31","31","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=31&pick_overall_max=31&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","MIL","https://www.basketball-reference.com/teams/MIL/draft.html","Damien Inglis","https://www.basketball-reference.com/players/i/inglida01.html","","","1","20","7.8","1.8","1.6","0.5",".351",".231",".875","-0.1","-.024","-5.6","-0.1"
"32","32","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=32&pick_overall_max=32&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","PHI","https://www.basketball-reference.com/teams/PHI/draft.html","K.J. McDaniels","https://www.basketball-reference.com/players/m/mcdankj01.html","Clemson","https://www.basketball-reference.com/friv/draft.fcgi?college=clemson","3","148","14.1","5.3","2.2","0.6",".412",".290",".776","1.3",".030","-2.8","-0.4"
"33","33","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=33&pick_overall_max=33&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","CLE","https://www.basketball-reference.com/teams/CLE/draft.html","Joe Harris","https://www.basketball-reference.com/players/h/harrijo01.html","Virginia","https://www.basketball-reference.com/friv/draft.fcgi?college=virginia","6","331","24.3","10.4","3.1","1.6",".479",".426",".779","14.7",".088","-0.7","2.5"
"34","34","https://stathead.com/basketball/draft_finder.cgi?request=1&year_min=&year_max=&round_min=&round_max=&pick_overall_min=34&pick_overall_max=34&franch_id=&college_id=0&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&is_active=&is_hof=&c1stat=&c1comp=gt&c1val=&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&order_by=ws","NYK","https://www.basketball-reference.com/teams/NYK/draft.html","Cleanthony Early","https://www.basketball-reference.com/players/e/earlycl01.html","Wichita State","https://www.basketball-reference.com/friv/draft.fcgi?college=wichitast","2","56","14.3","4.3","2.2","0.8",".346",".263",".750","-0.6","-.039","-5.9","-0.8"
